fIndex,fname,label,response,session,t_start,t_end,t_resp,subID,pitch,mfcc,mel,scentroid,harm,intensity,xvec,lang,changeIns
7,./playback/STIMULI/chinese/wavFilesTest/BAC009S0030W0393_BAC009S0030W0127_02_95_nspkrs_1.wav,1,1,TRAIN,0.0,7.3020000000000005,7.978,1,11.650012184032505,40.30600159429209,42.38347858785091,190.4682509231278,3.6221398245785768,1.9927932936659971,0.0,0,2.95
1,./playback/STIMULI/chinese/wavFilesTest/BAC009S0005W0398_BAC009S0005W0281_03_12_nspkrs_1.wav,1,1,TRAIN,0.0,6.282,6.787000000000001,1,3.5056746311962286,36.47231979104891,37.38560484785904,52.45378562476003,4.409831225819657,1.5003060749929489,0.0,0,3.12
6,./playback/STIMULI/chinese/wavFilesTest/BAC009S0024W0461_BAC009S0024W0342_03_09_nspkrs_1.wav,1,1,TRAIN,0.0,5.754,6.209,1,4.703020680567789,19.73372147623432,21.027099780450705,148.63523195701532,1.28910624630862,2.30195416560737,0.0,0,3.09
2,./playback/STIMULI/chinese/wavFilesTest/BAC009S0006W0204_BAC009S0019W0258_03_45_nspkrs_2.wav,2,2,TRAIN,0.0,7.001,7.452999999999999,1,0.01149018881972097,37.97059329784704,39.959697062559854,57.21180216250946,0.23516022184463914,3.2708134258648442,0.0,0,3.45
8,./playback/STIMULI/chinese/wavFilesTest/BAC009S0032W0445_BAC009S0032W0219_03_81_nspkrs_1.wav,1,2,TRAIN,0.0,7.391,8.875,1,8.93097109447885,38.44889648103846,40.005523586018356,91.52937271220873,2.980603857815966,2.415773592296077,0.0,0,3.81
3,./playback/STIMULI/chinese/wavFilesTest/BAC009S0010W0452_BAC009S0010W0203_02_94_nspkrs_1.wav,1,1,TRAIN,0.0,5.814,7.196000000000001,1,1.1584252692387054,38.96185130278251,39.86945501088297,115.11010926205358,1.3815433209272028,0.5784511134237249,0.0,0,2.94
60,./playback/STIMULI/chinese/wavFilesTest/BAC009S0167W0400_BAC009S0167W0388_02_72_nspkrs_1.wav,1,1,TEST,0.0,6.524,7.1,1,20.032631465030107,15.416757760266545,21.34494815639038,74.96125674301976,1.9128792256739082,0.9903594836919325,34.42213043909545,0,2.72
23,./playback/STIMULI/chinese/wavFilesTest/BAC009S0064W0353_BAC009S0064W0267_03_02_nspkrs_1.wav,1,1,TEST,0.0,7.561,8.017999999999999,1,1.526729660103868,21.67054043932044,22.098153398523227,213.6981933569686,0.34189052404950626,0.3927268045853509,31.215648188521165,0,3.02
53,./playback/STIMULI/chinese/wavFilesTest/BAC009S0131W0134_BAC009S0198W0373_03_08_nspkrs_2.wav,2,2,TEST,0.0,7.803,8.482999999999999,1,4.348191973527065,40.323443962055585,42.471693544617295,227.74625021057375,1.0033271367243604,0.3292938470786311,57.658610163434794,0,3.08
15,./playback/STIMULI/chinese/wavFilesTest/BAC009S0046W0243_BAC009S0102W0212_03_56_nspkrs_2.wav,2,1,TEST,0.0,7.2170000000000005,7.644,1,3.5047572481865927,23.900738494955764,26.144663444786183,100.74582543894905,1.9876004756755776,0.02177863568455507,55.11657945195555,0,3.56
45,./playback/STIMULI/chinese/wavFilesTest/BAC009S0112W0207_BAC009S0734W0409_02_53_nspkrs_2.wav,2,1,TEST,0.0,5.143,5.702999999999999,1,1.6952387605428498,44.49447917882309,45.74400689171846,11.257437368238357,0.20328520186495247,2.518085877896013,46.40762207976565,0,2.53
