Threshold,Hit_e,Miss_e,FA_e
-0.250,100,100,0
-0.245,100,100,0
-0.240,100,100,0
-0.235,100,100,0
-0.230,100,100,0
-0.225,100,100,0
-0.220,100,100,0
-0.215,100,100,0
-0.210,100,100,0
-0.205,100,100,0
-0.200,100,100,0
-0.195,100,100,0
-0.190,100,100,0
-0.185,98,100,2
-0.180,102,96,2
-0.175,104,94,2
-0.170,104,94,2
-0.165,104,94,2
-0.160,108,84,8
-0.155,112,78,10
-0.150,124,64,12
-0.145,126,60,14
-0.140,124,56,20
-0.135,128,44,28
-0.130,130,32,38
-0.125,122,22,56
-0.120,132,6,62
-0.115,120,6,74
-0.110,118,2,80
-0.105,106,2,92
-0.100,100,2,98
-0.095,98,2,98
-0.090,98,2,98
-0.085,92,2,100
-0.080,94,0,100
-0.075,92,0,100
-0.070,92,0,100
-0.065,88,0,100
-0.060,86,0,100
-0.055,84,0,100
-0.050,82,0,100
-0.045,78,0,100
-0.040,68,0,100
-0.035,66,0,100
-0.030,62,0,100
-0.025,62,0,100
-0.020,60,0,100
-0.015,54,0,100
-0.010,48,0,100
-0.005,42,0,100
0.000,38,0,100
0.005,34,0,100
0.010,30,0,100
0.015,28,0,100
0.020,24,0,100
0.025,20,0,100
0.030,18,0,100
0.035,14,0,100
0.040,12,0,100
0.045,8,0,100
0.050,8,0,100
0.055,6,0,100
0.060,4,0,100
0.065,4,0,100
0.070,2,0,100
0.075,2,0,100
0.080,0,0,100
0.085,0,0,100
0.090,0,0,100
0.095,0,0,100
0.100,0,0,100
0.105,0,0,100
0.110,0,0,100
0.115,0,0,100
0.120,0,0,100
0.125,0,0,100
0.130,0,0,100
0.135,0,0,100
0.140,0,0,100
0.145,0,0,100
0.150,0,0,100
0.155,0,0,100
0.160,0,0,100
0.165,0,0,100
0.170,0,0,100
0.175,0,0,100
0.180,0,0,100
0.185,0,0,100
0.190,0,0,100
0.195,0,0,100
0.200,0,0,100
0.205,0,0,100
0.210,0,0,100
0.215,0,0,100
0.220,0,0,100
0.225,0,0,100
0.230,0,0,100
0.235,0,0,100
0.240,0,0,100
0.245,0,0,100
0.250,0,0,100
